Unnamed: 0,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year,plant_name,id
0,10.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.4628,0.7,3.84,2021.0,Kumargao 10 MW Desh Combridge (15 Yrs),0
1,20.0,2011.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,30.3411,0.17,3.47,2021.0,Bogura 20 RPP (3 Yrs) Energy Prima,1
2,22.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,157.7652,0.82,2.94,2021.0,Barabkundu SIPP 22 MW (Regent Power),2
3,22.0,2008.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,141.1988,0.73,2.86,2021.0,Tangail SIPP (22 MW) (Doreen Power Ltd.),3
4,22.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,160.0048,0.83,2.87,2021.0,Feni SIPP (22 MW) (Doreen Power Ltd.),4
5,22.0,2008.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,167.4902,0.87,,2021.0,Bogura RPP (24MW) 15 yrs,5
6,33.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,199.538,0.69,3.99,2021.0,Bhola 32 MW (Venture Energy Resources Ltd.),6
7,33.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,258.2576,0.89,3.65,2021.0,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),7
8,50.0,2012.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.312,0.08,6.66,2021.0,Amnura 50MW Sinha Power,8
9,50.0,2012.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,21.6708,0.05,10.5,2021.0,Katakhali (Northern) Peaking,9
10,51.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,353.0717,0.79,3.12,2021.0,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),10
11,55.0,2010.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,208.8067,0.43,5.23,2021.0,Ashugonj  55 MW 3Yrs Rental (Precision Energy),11
12,86.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,605.4847,0.8,3.37,2021.0,Sahzibazar 86 MW RPP (15 yrs),12
13,100.0,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,366.3626,0.42,12.53,2021.0,Shiddirganj  Dutchbangla 100 MW,13
14,100.0,2018.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,189.9422,0.22,16.49,2021.0,Julda Acorn Infra.service Ltd.100MW,14
15,100.0,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,217.866,0.25,8.23,2021.0,"Power Pac Mutiara,Keranigonj,100MW",15
16,102.0,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,353.3363,0.4,9.72,2021.0,Summit  Power Co. Ltd Madangonj (100 MW),16
17,115.0,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,433.6464,0.43,11.53,2021.0,KPCL( 115 MW) U-2,17
18,44.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,219.7947,0.86,3.27,2021.0,Fenchugonj 50 MW Rental (Energy Prima),18
19,25.0,2013.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,102.6552,0.47,3.45,2021.0,Shahjahanullah Power Gen Co. Ltd.,19
20,40.0,2011.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,92.2828,0.29,14.77,2021.0,Khanjahan Ali Noapara  40 MW,20
21,78.0,2011.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,102.4493,0.35,7.92,2021.0,Ghorashal 78 MW QRPP (3 Yrs Max Power),21
22,0.0,2008.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6083,,6.18,2021.0,Kutubdia 900KW Wind PP,22
23,0.0,2022.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.206,,3.13,2021.0, Ghorasal TPP Unit-6,23
24,3.0,2017.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.9442,0.15,16.11,2021.0,Sharishabari 3 MW Engreen Solar Power Plant,24
25,7.0,2019.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.7123,0.159,5.79,2021.0,Kaptai Solar,25
26,8.0,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.269,0.16,11.04,2021.0,Sympa Solar Power 8 MW,26
27,20.0,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,33.4382,0.19,11.8,2021.0,20 MW Solar Teknaf,27
28,20.0,1987.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0647,0.013,95.47,2021.0,Saidpur 20 MW /GT,28
29,20.0,1986.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,111.0293,0.637,3.78,2021.0,Sylhet 1x20 MW /GT,29
30,20.0,1980.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.1532,0.0,,2021.0,Bheramara GT unit-3,30
31,20.0,1988.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4037,0.009,150.66,2021.0,Rangpur 20 MW /GT,31
32,22.0,2020.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,74.9804,0.39,12.43,2021.0,Tangail Polly Power 22 MW TPPGCl,32
33,32.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.4225,,,2021.0,Haripur GTPP,33
34,35.0,2021.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.1477,0.1,10.36,2021.0,Manikganj 35MW Spectra Solar Park Ltd.,34
35,50.0,2020.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,64.8588,0.15,14.38,2021.0,50 MW HDFC Solar Power Plant,35
36,50.0,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,198.9216,0.45,11.88,2021.0,Baraka Patenga,36
37,50.0,2012.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42.8089,0.1,21.57,2021.0,Santahar 50 MW PP,37
38,51.0,2015.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.3606,0.05,38.65,2021.0,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,38
39,51.0,2013.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,294.124,0.66,3.16,2021.0,Midland Power Co. Ashuganj 51 MW,39
40,52.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.1598,0.104,17.0,2021.0,Titas 50 MW Peaking PP,40
41,52.0,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,158.5054,0.35,13.99,2021.0,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,41
42,52.0,2012.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,146.3081,0.32,12.35,2021.0,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,42
43,52.0,2012.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,112.6812,0.255,15.93,2021.0,Gazipur 52 MW PP,43
44,52.0,1991.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,85.4892,0.191,14.52,2021.0,Baghabari 50 MW Peaking RE,44
45,53.0,1986.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,184.7955,0.483,2.38,2021.0,Ashuganj 50 MW PP,45
46,54.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.5429,0.037,46.96,2021.0,Faridpur 50 MW Peaking PP,46
47,54.0,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.3824,0.15,12.48,2021.0,Bhairab Power 54.5 MW,47
48,54.0,2018.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,309.349,0.65,11.47,2021.0,Kamalaghat Banco Energy Generation,48
49,54.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,276.7625,0.59,11.15,2021.0,Jodiac Power,49
50,55.0,2012.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,231.8441,0.48,11.39,2021.0,Dhaka(Doreen) Northern Power Ltd.Manikgonj,50
51,55.0,2016.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,259.5017,0.54,11.44,2021.0,Summit Narayangonj Power unit-2 Madangonj (55 MW),51
52,55.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,237.8964,0.49,11.28,2021.0,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,52
53,70.0,2000.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,361.4274,0.628,3.64,2021.0,"Shahjibazar 70 MW GT, Habiganj",53
54,71.0,1991.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.6144,0.18,9.01,2021.0,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",54
55,71.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.2907,0.052,32.75,2021.0,Bera 70 MW Peaking RE,55
56,95.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,289.7374,0.35,11.28,2021.0,Powerpac Mutiara Jamalpur Power plant Ltd,56
57,97.0,1994.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,396.7305,0.662,3.61,2021.0,Fenchuganj C.C. (Unit #1),57
58,98.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8567,0.001,,2021.0,Hathazari 100 MW Peaking PP,58
59,100.0,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,122.2197,0.14,31.38,2021.0,Noapara100MW (Bangla Trac),59
60,100.0,2020.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,610.5613,0.7,9.93,2021.0,Juldha Acorn 100 MW Unit-3,60
61,100.0,2021.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,39.4552,0.052,1.89,2021.0,Shahazibazar 100 MW GT,61
62,100.0,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.8673,0.03,76.01,2021.0,"Aggreko, Brahmangaon 100MW",62
63,100.0,2020.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.1663,0.04,64.13,2021.0,"Aggreko, Aourahati 100MW",63
64,102.0,2014.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,325.564,0.36,11.48,2021.0,Digital  Power & Associates Gagnagar,64
65,102.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,203.2578,0.234,13.4,2021.0,"Sangu, Dohazari-kaliaish 100 MW PPP",65
66,104.0,2020.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,451.8127,0.5,11.28,2021.0,Orion Power Sonargaon Ltd.,66
67,104.0,2017.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,259.43144,0.291,12.5,2021.0,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",67
68,104.0,1994.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,240.2846,0.34,3.61,2021.0,Fenchuganj C.C. (Unit #2),68
69,105.0,2019.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.4258,0.015,127.97,2021.0,Modhumoti 105 MW NWPGCL,69
70,105.0,2018.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,361.1674,0.004,12.7,2021.0,Lobonchora Orion Power Rupsha Ltd. 105 MW,70
71,105.0,2005.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.2004,,,2021.0,Tongi 80 MW GTPP,71
72,105.0,2019.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,370.9008,0.41,12.25,2021.0,Gazipur 100 MW PP,72
73,105.0,2017.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,160.1848,0.17,17.38,2021.0,Baraka Shikalbaha 105MW PS,73
74,108.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,190.2545,0.2,13.5,2021.0,ECPV Chattogram Limited 108 MW,74
75,108.0,2017.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2021.0,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,75
76,108.0,2014.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,591.4501,0.63,2.92,2021.0,Regent Energy & Power Ltd 108 MW,76
77,109.0,2011.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.1326,0.007,218.79,2021.0,Gopalganj 100 MW Peaking PP,77
78,110.0,2016.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,218.6086,0.23,14.49,2021.0,Summit   Barishal (110 MW),78
79,110.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.2665,0.09,25.6,2021.0,Karnaphuli Power Ltd.,79
80,113.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,551.0603,0.56,10.8,2021.0,HF 113 MW Power Limited,80
81,113.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,494.4,0.5,11.47,2021.0,Confidence Power  Ltd. 113MW Rangpur,81
82,113.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,468.1931,0.47,11.68,2021.0,Bogura 113 MW PP (Confidence) Unit-1,82
83,113.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,447.8107,0.45,12.52,2021.0,Confidence CPBL- 2 Bogura,83
84,115.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,538.4717,0.53,12.39,2021.0,United Jamalpur PPL,84
85,116.0,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,125.1359,0.12,14.3,2021.0,Anlima Chattogram 116 MW,85
86,149.0,2018.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,387.4975,0.308,15.1,2021.0,Kodda 150 MW PP,86
87,149.0,2018.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,791.75,0.61,10.57,2021.0,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,87
88,150.0,2021.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.4596,0.03,32.23,2021.0,United Payra PP Patuakhali Imp,88
89,150.0,1987.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,222.9391,0.209,5.23,2021.0, Ashuganj TPP Unit-3,89
90,150.0,1987.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,279.6746,0.261,5.23,2021.0, Ashuganj TPP Unit-4,90
91,150.0,1988.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,215.2755,0.202,5.23,2021.0, Ashuganj TPP Unit-5,91
92,162.0,2020.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,373.1234,0.26,13.55,2021.0,Manikganj 162MW P0wer Generation,92
93,163.0,2012.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,596.5169,0.441,3.55,2021.0,Chandpur 150 MW CCPP,93
94,163.0,2017.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1065.5715,0.75,2.99,2021.0,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,94
95,194.0,2015.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,315.2895,0.201,6.49,2021.0,Bhola 225 MW CCPP,95
96,200.0,2019.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.1198,0.01,180.67,2021.0,Paramount Baghabari BanglaTrack,96
97,200.0,2018.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.5404,0.02,105.72,2021.0,Daudkandi 200MW(Bangla Trac),97
98,200.0,2018.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,535.4999,0.31,13.57,2021.0,Desh Energy Chandpur  200 MW,98
99,210.0,2019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.287,,,2021.0,210 MW Shiddirganj TPP,99
100,210.0,2019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,563.9633,0.318,4.78,2021.0,Siddhirganj 2x120 MW GTPP,100
101,210.0,1997.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,403.4491,0.297,5.2,2021.0,Rauzan 210 MW /ST (1st),101
102,210.0,1997.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.2,2021.0,Rauzan 210 MW /ST (2nd),102
103,210.0,1989.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,963.6894,0.62,3.13,2021.0, Ghorasal TPP Unit-5,103
104,210.0,2012.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,216.5913,0.122,11.01,2021.0,Sirajgonj 210 MW CC (NWPGCL) Unit-1,104
105,210.0,2007.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1150.0912,0.63,3.34,2021.0,Rural Power Company Ltd.(RPCL),105
106,210.0,2022.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,280.5226,0.197,3.13,2021.0, Ghorasal Repowered CCPP Unit-4,106
107,220.0,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1447.0055,0.781,3.38,2021.0,Sirajgonj 210 MW CC (NWPGCL) Unit-3,107
108,220.0,2021.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,266.9117,0.14,1.76,2021.0,Nutan Biddyut 220MW Bhola,108
109,221.0,1987.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1574.3307,0.828,3.26,2021.0,Ashuganj 225 MW CCPP,109
110,225.0,2017.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1014.6721,0.536,2.98,2021.0,Shikalbaha 225 MW PS,110
111,230.0,1962.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,654.9908,0.326,3.0,2021.0,Karnafuli Hydro,111
112,231.0,2020.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1075.5239,0.548,2.95,2021.0,Sylhet 225 MW CCPP,112
113,250.0,2006.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4905,0.078,11.24,2021.0,"Barapukuria Coal based S/T (unit 1,2)",113
114,260.0,2021.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,47.1487,0.023,3.13,2021.0, Ghorasal Repowered CCPP Unit-3,114
115,274.0,2018.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1098.3259,0.518,8.82,2021.0,Barapukuria Coal based S/T (unit 3),115
116,300.0,2018.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1280.2528,0.49,10.91,2021.0,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),116
117,300.0,2019.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1195.9981,0.46,11.36,2021.0,United Anwara 300MW PS,117
118,305.0,2015.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1559.0939,0.58,4.2,2021.0,Summit Meghnaghat Power Co.Ltd.,118
119,330.0,2016.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1505.2982,0.546,2.84,2021.0,Shahjibazar 330 MW CCPP,119
120,335.0,2019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1042.3959,0.373,3.52,2021.0,Siddhirganj 335 MW CCPP,120
121,360.0,2001.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2315.379,0.73,1.68,2021.0,Haripur Power Ltd.,121
122,360.0,2017.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2088.9237,0.694,2.82,2021.0,Ashuganj 450 MW CCPP (North),122
123,360.0,2017.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1955.573,0.646,3.87,2021.0,Ashuganj 450 MW CCPP (South),123
124,365.0,2018.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1315.1245,0.434,3.35,2021.0,Ghorasal 365 MW CCPP Unit-7,124
125,383.0,2021.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1351.3021,0.406,1.95,2021.0,Bibiyana - South  383 MW CCPP,125
126,400.0,2019.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1839.712,0.549,2.04,2021.0,Bibiana III 400 MW CCPP,126
127,412.0,1987.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1817.5804,0.527,3.01,2021.0,Haripur 412 MW CCPP,127
128,414.0,2016.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2945.2366,0.81,3.07,2021.0,Sembcorp NWPGCL,128
129,622.0,2020.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2049.4159,0.397,8.6,2021.0,"Payra, Potuakhali 2*660 MW PP (U-1)",129
130,622.0,2020.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1762.5061,0.339,8.6,2021.0,"Payra, Potuakhali 2*660 MW PP (U-2)",130
131,150.0,2010.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,641.9223,0.505,3.28,2021.0,Shikalbaha 150 MW Peaking PP,131
0,10.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,78.96187707936178,86.0,3.62,2022.0,Kumargao 10 MW Desh Combridge (15 Yrs),0
1,20.0,2011.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2022.0,Bogura 20 RPP (3 Yrs) Energy Prima,1
2,22.0,2009.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,149.4775200227581,76.0,3.09,2022.0,Barabkundu SIPP 22 MW (Regent Power),2
