Unnamed: 0,plant_name,capacity_mw,start,own_IPP,own_Joint venture,own_Public,own_RENTAL & SIPP,fuel_GAS,fuel_HFO,fuel_HSD,fuel_HYDRO,fuel_SOLAR,fuel_WIND,units,usage,cost_per_unit,year
3,Tangail SIPP (22 MW) (Doreen Power Ltd.),22,2008.0,False,False,False,True,True,False,False,False,False,False,159.5888653325967,81.0,2.96,2022
4,Feni SIPP (22 MW) (Doreen Power Ltd.),22,2009.0,False,False,False,True,True,False,False,False,False,False,165.6556725184999,84.0,2.9,2022
5,Bogura RPP (24MW) 15 yrs,22,2008.0,False,False,False,True,True,False,False,False,False,False,171.72247970440307,87.0,4.09,2022
6,Bhola 32 MW (Venture Energy Resources Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,193.0881919678012,66.0,3.55,2022
7,Jangalia 33 MW (Summit Purbanchol Po. Co. Ltd.),33,2009.0,False,False,False,True,True,False,False,False,False,False,237.92981029838987,81.0,4.06,2022
8,Amnura 50MW Sinha Power,50,2012.0,False,False,False,True,False,True,False,False,False,False,18.205880478505367,5.0,13.15,2022
9,Katakhali (Northern) Peaking,50,2012.0,False,False,False,True,False,True,False,False,False,False,66.63482827554114,15.8,16.48,2022
10,Fenchugonj 51 MW Rental (15 Yrs) (Barakatullah),51,2009.0,False,False,False,True,True,False,False,False,False,False,352.407824154128,78.0,,2022
11,Ashugonj  55 MW 3Yrs Rental (Precision Energy),55,2010.0,False,False,False,True,True,False,False,False,False,False,276.4408472176013,57.0,4.55,2022
12,Sahzibazar 86 MW RPP (15 yrs),86,2009.0,False,False,False,True,True,False,False,False,False,False,623.0401794905043,82.0,3.54,2022
13,Shiddirganj  Dutchbangla 100 MW,100,2011.0,False,False,False,True,False,True,False,False,False,False,164.51265087477898,19.0,20.19,2022
14,Julda Acorn Infra.service Ltd.100MW,100,2018.0,False,False,False,True,False,True,False,False,False,False,217.79504442053727,25.0,18.44,2022
15,"Power Pac Mutiara,Keranigonj,100MW",100,2011.0,False,False,False,True,False,True,False,False,False,False,84.58906055614153,10.0,27.37,2022
16,Summit  Power Co. Ltd Madangonj (100 MW),102,2011.0,False,False,False,True,False,True,False,False,False,False,113.51630061646247,13.0,19.21,2022
17,KPCL( 115 MW) U-2,115,2011.0,False,False,False,True,False,True,False,False,False,False,107.9770418815074,11.0,19.91,2022
18,Fenchugonj 50 MW Rental (Energy Prima),44,2009.0,False,False,False,True,True,False,False,False,False,False,47.22104528065098,13.0,3.03,2022
19,Shahjahanullah Power Gen Co. Ltd.,25,2013.0,False,False,False,True,True,False,False,False,False,False,121.51745212250869,55.0,3.45,2022
20,Khanjahan Ali Noapara  40 MW,40,2011.0,False,False,False,True,False,True,False,False,False,False,28.229301046519307,9.0,"19,61",2022
21,Ghorashal 78 MW QRPP (3 Yrs Max Power),78,2011.0,False,False,False,True,True,False,False,False,False,False,0.0,0.0,-,2022
22,Kutubdia 900KW Wind PP,0,2008.0,False,False,True,False,False,False,False,False,False,True,,,422,2022
23, Ghorasal TPP Unit-6,0,2022.0,False,False,True,False,True,False,False,False,False,False,0.0,0.0,68129,2022
24,Sharishabari 3 MW Engreen Solar Power Plant,3,2017.0,True,False,False,False,False,False,False,False,True,False,1.0605558226920513,15.0,16.42,2022
25,Kaptai Solar,7,2019.0,False,False,True,False,False,False,False,False,True,False,6.476719919092563,15.2,1556,2022
26,Sympa Solar Power 8 MW,8,2019.0,True,False,False,False,False,False,False,False,True,False,9.237556812387632,17.0,11.26,2022
27,20 MW Solar Teknaf,20,2018.0,True,False,False,False,False,False,False,False,True,False,34.559882457896535,21.0,12.04,2022
28,Saidpur 20 MW /GT,20,1987.0,False,False,True,False,False,False,True,False,False,False,0.0,0.74,182.97,2022
29,Sylhet 1x20 MW /GT,20,1986.0,False,False,True,False,True,False,False,False,False,False,65.3950894158131,37.7,3.6,2022
30,Bheramara GT unit-3,20,1980.0,False,False,True,False,False,False,True,False,False,False,,,,2022
31,Rangpur 20 MW /GT,20,1988.0,False,False,True,False,False,False,True,False,False,False,0.0,1.29,113.92,2022
32,Tangail Polly Power 22 MW TPPGCl,22,2020.0,True,False,False,False,False,True,False,False,False,False,,,15.83,2022
33,Haripur GTPP,32,,False,False,True,False,True,False,False,False,False,False,,,-693.232516703786,2022
34,Manikganj 35MW Spectra Solar Park Ltd.,35,2021.0,True,False,False,False,False,False,False,False,True,False,49.59501330991744,17.0,11.96,2022
35,50 MW HDFC Solar Power Plant,50,2020.0,True,False,False,False,False,False,False,False,True,False,89.95246980744724,21.0,14.7,2022
36,Baraka Patenga,50,2014.0,True,False,False,False,False,True,False,False,False,False,224.47732479921328,51.0,15.55,2022
37,Santahar 50 MW PP,50,2012.0,False,False,True,False,False,True,False,False,False,False,67.08324445884702,15.9,19.57,2022
38,Sinha Peoples Energy Ltd.Katpatti 52.5 MW Exp,51,2015.0,True,False,False,False,False,True,False,False,False,False,21.845964790047272,5.7,19.58,2022
39,Midland Power Co. Ashuganj 51 MW,51,2013.0,True,False,False,False,True,False,False,False,False,False,375.26825702854575,83.0,2.75,2022
40,Titas 50 MW Peaking PP,52,2011.0,False,False,True,False,False,True,False,False,False,False,104.3633349925129,23.3,18.5855546668254,2022
41,Lakdhanvi lanka- Bangla Jangalia Cumilla 52MW,52,2014.0,True,False,False,False,False,True,False,False,False,False,219.46561451520628,48.0,16.83,2022
42,Raj Lanka Power Gen.Com. Ltd.Nator 55 MW,52,2012.0,True,False,False,False,False,True,False,False,False,False,238.10565978203925,52.0,15.58,2022
43,Gazipur 52 MW PP,52,2012.0,False,False,True,False,False,True,False,False,False,False,216.2036065935105,47.3,18.11,2022
44,Baghabari 50 MW Peaking RE,52,1991.0,False,False,True,False,False,True,False,False,False,False,106.69334065086704,23.8,1926,2022
45,Ashuganj 50 MW PP,53,1986.0,False,False,True,False,True,False,False,False,False,False,237.4550166925366,50.9,2.14,2022
46,Faridpur 50 MW Peaking PP,54,2011.0,False,False,True,False,False,True,False,False,False,False,42.69292107667977,9.7,20.93,2022
47,Bhairab Power 54.5 MW,54,2021.0,True,False,False,False,False,True,False,False,False,False,198.89122492823032,42.0,16.95,2022
48,Kamalaghat Banco Energy Generation,54,2018.0,True,False,False,False,False,True,False,False,False,False,382.6539353418192,80.0,15.83,2022
49,Jodiac Power,54,2019.0,True,False,False,False,False,True,False,False,False,False,324.62360573752795,68.0,15.7,2022
50,Dhaka(Doreen) Northern Power Ltd.Manikgonj,55,2012.0,True,False,False,False,False,True,False,False,False,False,301.0597749285127,62.0,16.48,2022
51,Summit Narayangonj Power unit-2 Madangonj (55 MW),55,2016.0,True,False,False,False,False,True,False,False,False,False,291.2122038441481,60.0,17.29,2022
52,Dhaka(Doreen) Southern Power Ltd.Nobabgonj,55,,True,False,False,False,False,True,False,False,False,False,310.90734601287727,64.0,16.2,2022
53,"Shahjibazar 70 MW GT, Habiganj",70,2000.0,False,False,True,False,True,False,False,False,False,False,447.12914852185975,72.3,3.04,2022
54,"Baghabari 71 MW /GT
Baghabari 100 MW /GT",71,1991.0,False,False,True,False,True,False,False,False,False,False,50.22807145105516,8.6,1652,2022
55,Bera 70 MW Peaking RE,71,2011.0,False,False,True,False,False,True,False,False,False,False,58.45782728584555,9.9,2259,2022
56,Powerpac Mutiara Jamalpur Power plant Ltd,95,,True,False,False,False,False,True,False,False,False,False,12.666621743550294,2.0,22.02,2022
57,Fenchuganj C.C. (Unit #1),97,1994.0,False,False,True,False,True,False,False,False,False,False,421.4463314348696,49.4,3.12,2022
58,Hathazari 100 MW Peaking PP,98,2011.0,False,False,True,False,False,True,False,False,False,False,25.38053941139955,3.4,31.67,2022
59,Noapara100MW (Bangla Trac),100,2018.0,True,False,False,False,False,False,True,False,False,False,102.34985840472766,12.0,36.28,2022
60,Juldha Acorn 100 MW Unit-3,100,2020.0,True,False,False,False,False,True,False,False,False,False,590.7717992408454,67.0,15.09,2022
61,Shahazibazar 100 MW GT,100,2021.0,False,False,True,False,True,False,False,False,False,False,60.61198346055029,7.3,8.98,2022
62,"Aggreko, Brahmangaon 100MW",100,2019.0,True,False,False,False,False,False,True,False,False,False,120.11065625331376,14.0,35.24,2022
63,"Aggreko, Aourahati 100MW",100,2020.0,True,False,False,False,False,False,True,False,False,False,128.9910551776068,15.0,33.58,2022
64,Digital  Power & Associates Gagnagar,102,2014.0,True,False,False,False,False,True,False,False,False,False,439.5412433023896,49.0,16.96,2022
65,"Sangu, Dohazari-kaliaish 100 MW PPP",102,2011.0,False,False,True,False,False,True,False,False,False,False,133.44004711393578,15.2,19Jl4,2022
66,Orion Power Sonargaon Ltd.,104,2020.0,True,False,False,False,False,True,False,False,False,False,642.0319237246359,70.0,13.19,2022
67,"Chapainobabgonj Peaking Power Station 100 MW, Amnura",104,2017.0,False,False,True,False,False,True,False,False,False,False,257.05344164525854,28.3,23.03,2022
68,Fenchuganj C.C. (Unit #2),104,1994.0,False,False,True,False,True,False,False,False,False,False,312.4460289948092,34.3,3.12,2022
69,Modhumoti 105 MW NWPGCL,105,2019.0,False,False,True,False,False,True,False,False,False,False,98.3053202807922,11.0,28.45,2022
70,Lobonchora Orion Power Rupsha Ltd. 105 MW,105,2018.0,True,False,False,False,False,True,False,False,False,False,545.6664066847827,59.0,16.73,2022
71,Tongi 80 MW GTPP,105,2005.0,False,False,True,False,True,False,False,False,False,False,0.0,0.0,,2022
72,Gazipur 100 MW PP,105,2019.0,False,False,True,False,False,True,False,False,False,False,538.2103885780496,58.2,16.68,2022
73,Baraka Shikalbaha 105MW PS,105,2017.0,True,False,False,False,False,True,False,False,False,False,610.9065651186979,66.0,16.07,2022
74,ECPV Chattogram Limited 108 MW,108,2019.0,True,False,False,False,False,True,False,False,False,False,407.88833624550335,43.0,17.58,2022
75,CLC Power Co. Ltd. 108 MW Bosila Keranigonj,108,2017.0,True,False,False,False,False,True,False,False,False,False,0.0,0.0,,2022
76,Regent Energy & Power Ltd 108 MW,108,2014.0,True,False,False,False,True,False,False,False,False,False,359.9693519510508,38.0,4.08,2022
77,Gopalganj 100 MW Peaking PP,109,2011.0,False,False,True,False,False,True,False,False,False,False,17.062858834784482,2.2,51.49,2022
78,Summit   Barishal (110 MW),110,2016.0,True,False,False,False,False,True,False,False,False,False,59.22277253972031,6.5,36.85,2022
79,Karnaphuli Power Ltd.,110,2019.0,True,False,False,False,False,True,False,False,False,False,698.4796079760829,72.0,15.47,2022
80,HF 113 MW Power Limited,113,2019.0,True,False,False,False,False,True,False,False,False,False,577.1434642580194,58.0,15.41,2022
81,Confidence Power  Ltd. 113MW Rangpur,113,2019.0,True,False,False,False,False,True,False,False,False,False,627.2605670980892,63.0,16.03,2022
82,Bogura 113 MW PP (Confidence) Unit-1,113,2019.0,True,False,False,False,False,True,False,False,False,False,617.2371465300752,62.0,16.46,2022
83,Confidence CPBL- 2 Bogura,113,2019.0,True,False,False,False,False,True,False,False,False,False,657.3308288021309,66.0,16.56,2022
84,United Jamalpur PPL,115,2019.0,True,False,False,False,False,True,False,False,False,False,628.139814516336,62.0,17.25,2022
85,Anlima Chattogram 116 MW,116,2021.0,True,False,False,False,False,True,False,False,False,False,757.0374860313221,74.0,15.18,2022
86,Kodda 150 MW PP,149,2018.0,False,False,True,False,False,True,False,False,False,False,,,19.84,2022
87,Kodda Gazipur 149MW Power Ltd. (unit-1 Summit) ACE Alliance,149,2018.0,True,False,False,False,False,True,False,False,False,False,813.4851702827691,62.0,16.49,2022
88,United Payra PP Patuakhali Imp,150,2021.0,True,False,False,False,False,True,False,False,False,False,75.44488740637443,6.0,32.53,2022
89, Ashuganj TPP Unit-3,150,1987.0,False,False,True,False,True,False,False,False,False,False,208.2112475616468,16.0,7.24,2022
90, Ashuganj TPP Unit-4,150,1987.0,False,False,True,False,True,False,False,False,False,False,0.0,0.0,7.24,2022
91, Ashuganj TPP Unit-5,150,1988.0,False,False,True,False,True,False,False,False,False,False,241.4028376004649,18.5,7.24,2022
92,Manikganj 162MW P0wer Generation,162,2020.0,True,False,False,False,False,True,False,False,False,False,1042.0015742851222,73.0,15.81,2022
93,Chandpur 150 MW CCPP,163,2012.0,False,False,True,False,True,False,False,False,False,False,774.4465849126096,54.0,223,2022
94,Kushiara power Co. Ltd (163MW)CCPP Fenchuganj,163,2017.0,True,False,False,False,True,False,False,False,False,False,1048.420080438324,73.0,3.07,2022
95,Bhola 225 MW CCPP,194,2015.0,False,False,True,False,True,False,False,False,False,False,678.1689926145809,39.8,538,2022
96,Paramount Baghabari BanglaTrack,200,2019.0,True,False,False,False,False,False,True,False,False,False,101.82230995377954,6.0,55.39,2022
97,Daudkandi 200MW(Bangla Trac),200,2018.0,True,False,False,False,False,False,True,False,False,False,154.8409292740638,9.0,42.33,2022
98,Desh Energy Chandpur  200 MW,200,2018.0,True,False,False,False,False,True,False,False,False,False,755.718614903952,43.0,17.2,2022
99,210 MW Shiddirganj TPP,210,2019.0,False,False,True,False,True,False,False,False,False,False,0.0,0.0,,2022
100,Siddhirganj 2x120 MW GTPP,210,2019.0,False,False,True,False,True,False,False,False,False,False,118.22906677826548,6.6,14.05,2022
101,Rauzan 210 MW /ST (1st),210,1997.0,False,False,True,False,True,False,False,False,False,False,511.5340219084404,27.8,423,2022
102,Rauzan 210 MW /ST (2nd),210,1997.0,False,False,True,False,True,False,False,False,False,False,244.38348634832164,13.4,423,2022
103, Ghorasal TPP Unit-5,210,1989.0,False,False,True,False,True,False,False,False,False,False,569.045595535966,30.9,68129,2022
104,Sirajgonj 210 MW CC (NWPGCL) Unit-1,210,2012.0,False,False,True,False,True,False,False,False,False,False,235.10742608581756,12.9,9.56,2022
105,Rural Power Company Ltd.(RPCL),210,2007.0,True,False,False,False,True,False,False,False,False,False,1127.4644233387148,61.0,3.73,2022
106, Ghorasal Repowered CCPP Unit-4,210,2022.0,False,False,True,False,True,False,False,False,False,False,539.3622026959529,29.3,68129,2022
107,Sirajgonj 210 MW CC (NWPGCL) Unit-3,220,,False,False,True,False,True,False,False,False,False,False,1278.255355568047,66.0,3.89,2022
108,Nutan Biddyut 220MW Bhola,220,2021.0,True,False,False,False,True,False,False,False,False,False,1647.451346489894,85.0,3.01,2022
109,Ashuganj 225 MW CCPP,221,1987.0,False,False,True,False,True,False,False,False,False,False,1617.83829344334,83.1,3.32,2022
110,Shikalbaha 225 MW PS,225,2017.0,False,False,True,False,True,False,False,False,False,False,387.2436068650677,19.7,852,2022
111,Karnafuli Hydro,230,1962.0,False,False,True,False,False,False,False,True,False,False,747.2778396887825,37.0,2.7,2022
112,Sylhet 225 MW CCPP,231,2020.0,False,False,True,False,True,False,False,False,False,False,,,213,2022
113,"Barapukuria Coal based S/T (unit 1,2)",250,2006.0,False,False,True,False,False,False,False,False,False,False,440.0362595988625,20.13,8.13,2022
114, Ghorasal Repowered CCPP Unit-3,260,2021.0,False,False,True,False,True,False,False,False,False,False,2.6695785980837616,0.3,68129,2022
115,Barapukuria Coal based S/T (unit 3),274,2018.0,False,False,True,False,False,False,False,False,False,False,1224.8190937240956,50.83,8.13,2022
116,Kodda Gazipur 300MW Power Ltd.(unit-2 Summit),300,2018.0,True,False,False,False,False,True,False,False,False,False,1424.9138249316195,54.0,17.18,2022
117,United Anwara 300MW PS,300,2019.0,True,False,False,False,False,True,False,False,False,False,1689.5672978239174,64.0,16.66,2022
118,Summit Meghnaghat Power Co.Ltd.,305,2015.0,True,False,False,False,True,False,False,False,False,False,1529.3684182193435,57.0,4.22,2022
119,Shahjibazar 330 MW CCPP,330,2016.0,False,False,True,False,True,False,False,False,False,False,1139.5364903912437,39.3,4B4,2022
120,Siddhirganj 335 MW CCPP,335,2019.0,False,False,True,False,True,False,False,False,False,False,1505.4177185463,51.1,4.2,2022
121,Haripur Power Ltd.,360,2001.0,True,False,False,False,True,False,False,False,False,False,1931.9758110345704,61.0,1.7,2022
122,Ashuganj 450 MW CCPP (North),360,2017.0,False,False,True,False,True,False,False,False,False,False,2116.072635467093,66.8,2.95,2022
123,Ashuganj 450 MW CCPP (South),360,2017.0,False,False,True,False,True,False,False,False,False,False,2217.6432972229672,70.0,3.76,2022
124,Ghorasal 365 MW CCPP Unit-7,365,2018.0,False,False,True,False,True,False,False,False,False,False,1601.5898011541385,49.9,68129,2022
125,Bibiyana - South  383 MW CCPP,383,2021.0,False,False,True,False,True,False,False,False,False,False,2656.317419134679,78.8,JBS,2022
126,Bibiana III 400 MW CCPP,400,2019.0,False,False,True,False,True,False,False,False,False,False,2255.8114276490624,64.1,133,2022
127,Haripur 412 MW CCPP,412,1987.0,False,False,True,False,True,False,False,False,False,False,2091.0404614696054,57.7,2.5,2022
128,Sembcorp NWPGCL,414,2016.0,True,False,False,False,True,False,False,False,False,False,2841.9089641782216,78.0,3.24,2022
129,"Payra, Potuakhali 2*660 MW PP (U-1)",622,2020.0,False,True,False,False,False,False,False,False,False,False,2214.258194662717,40.5,13.85,2022
130,"Payra, Potuakhali 2*660 MW PP (U-2)",622,2020.0,False,True,False,False,False,False,False,False,False,False,2093.748543517805,38.3,13.85,2022
131,Shikalbaha 150 MW Peaking PP,150,2010.0,False,False,True,False,True,False,False,False,False,False,659.6168720895728,50.0,8.63,2022
